Event Name,Date,Location,Type,Region,Website,Latitude,Longitude,ShortForecast
Dale Chihuly at Tacoma Art Museum,Ongoing,Tacoma Art Museum,Museums,South,https://visitseattle.org/events/dale-chihuly-at-tacoma-art-museum/,47.2475134,-122.43680521780016,Chance Light Rain
Be/longing: Contemporary Asian Art,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/be-longing-contemporary-asian-art/,47.63029565,-122.31413540328062,Chance Light Rain
Porcelain Room,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/porcelain-room/,47.6077008,-122.3385575,Chance Light Rain
Life on the Edge,Ongoing,Seattle Aquarium,Museums,Downtown,https://visitseattle.org/events/life-on-the-edge/,47.60762475,-122.34322017076866,Chance Light Rain
Tropical Pacific,Ongoing,Seattle Aquarium,Museums,Downtown,https://visitseattle.org/events/tropical-pacific/,47.60762475,-122.34322017076866,Chance Light Rain
Underwater Dome,Ongoing,Seattle Aquarium,Museums,Downtown,https://visitseattle.org/events/underwater-dome/,47.60762475,-122.34322017076866,Chance Light Rain
Meet the Animals,Ongoing,Woodland Park Zoo,Museums,Wallingford / Greenlake,https://visitseattle.org/events/meet-the-animals/,47.669143399999996,-122.35096188536495,Chance Light Rain
Chihuly Garden and Glass,Ongoing,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/chihuly-garden-and-glass/,47.6205296,-122.35020712496446,Chance Light Rain
Discover Ancient Coast Salish Culture,Ongoing,Hibulb Cultural Center,Museums,North,https://visitseattle.org/events/discover-ancient-coast-salish-culture/,48.05373125,-122.20152426611563,Chance Light Rain
Savor Seattle Signature Tour: Pike Place Market,Ongoing,Pike Place Market,Tours & Attractions,Downtown,https://visitseattle.org/events/savor-seattle-signature-tour-pike-place-market/,47.60939675,-122.34141017673986,Chance Light Rain
Untold Stories: World War II at 75,Ongoing,The Museum of Flight,Museums,South Seattle,https://visitseattle.org/events/untold-stories-world-war-ii-at-75/,32.70030575,-94.94716355,Patchy Fog
Bezos Center for Innovation,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/bezos-center-for-innovation/,47.6275114,-122.3367506,Chance Light Rain
Maritime Seattle,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/maritime-seattle/,47.6275114,-122.3367506,Chance Light Rain
True Northwest: The Seattle Journey,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/true-northwest-the-seattle-journey/,47.6275114,-122.3367506,Chance Light Rain
Metaphor into Form: Art in the Era of the Pilchuck Glass School,Ongoing,Tacoma Art Museum,Museums,South,https://visitseattle.org/events/metaphor-into-form-art-in-the-era-of-the-pilchuck-glass-school/,47.2475134,-122.43680521780016,Chance Light Rain
Winter in the West,Ongoing,Tacoma Art Museum,Museums,South,https://visitseattle.org/events/winter-in-the-west/,47.2475134,-122.43680521780016,Chance Light Rain
Ballard Farmers Market – Sunday,Ongoing,Ballard Farmers Market,Festivals & Special Events,Fremont / Ballard,https://visitseattle.org/events/ballard-farmers-market-sunday/,N/A,N/A,N/A
Capitol Hill Farmers Market – Sunday,Ongoing,Capitol Hill Farmers Market,Festivals & Special Events,Capitol Hill / Central District,https://visitseattle.org/events/capitol-hill-farmers-market-sunday/,47.618892450000004,-122.32016705491071,Chance Light Rain
University District Farmers Market,Ongoing,University District Farmers Market,Festivals & Special Events,University District,https://visitseattle.org/events/university-district-farmers-market/,47.665682950000004,-122.3130697496926,Chance Light Rain
Fremont Sunday Market,Ongoing,Fremont Farmers Market,Festivals & Special Events,Fremont / Ballard,https://visitseattle.org/events/fremont-sunday-market/,47.6637543,-122.3330234,Chance Light Rain
Chihuly Garden and Glass Gallery Talks & Tours,Ongoing,Chihuly Garden and Glass,Tours & Attractions,Queen Anne / Seattle Center,https://visitseattle.org/events/chihuly-garden-and-glass-gallery-talks-tours/,47.6205296,-122.35020712496446,Chance Light Rain
Boundless: Stories of Asian Art,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/boundless-stories-of-asian-art/,47.63029565,-122.31413540328062,Chance Light Rain
Kenzan Tsutakawa-Chinn: Gather,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/kenzan-tsutakawa-chinn-gather/,47.63029565,-122.31413540328062,Chance Light Rain
Art Walk Edmonds | Every Third Thursday,Ongoing,Cascadia Art Museum,Visual Arts & Galleries,North,https://visitseattle.org/events/art-walk-edmonds-every-third-thursday/,47.8104565,-122.3839448,Chance Light Rain
Rise Up: Stonewall and the LGBTQ Rights Movement,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/rise-up-stonewall-and-the-lgbtq-rights-movement/,47.621493099999995,-122.34822527405619,Chance Light Rain
Show Me Seattle Tours,Ongoing,"Seattle, WA",Tours & Attractions,Downtown,https://visitseattle.org/events/show-me-seattle-tours/,47.6038321,-122.330062,Chance Light Rain
LeMay – America’s Car Museum,Ongoing,LeMay - America's Car Museum,Museums,South,https://visitseattle.org/events/lemay-americas-car-museum/,47.2362108,-122.43044382406997,Chance Light Rain
History Link Tours,Ongoing,"Seattle, WA",Tours & Attractions,Downtown,https://visitseattle.org/events/history-link-tours/,47.6038321,-122.330062,Chance Light Rain
West Seattle Farmers Market – Sundays,Ongoing,West Seattle Farmers Market,Festivals & Special Events,West Seattle,https://visitseattle.org/events/west-seattle-farmers-market-sundays/,47.5620654,-122.3869194,Chance Light Rain
REMEMBRANCE: The Legacy of Executive Order 9066 in Washington State,Ongoing,Washington State History Museum,Museums,South,https://visitseattle.org/events/remembrance-the-legacy-of-executive-order-9066-in-washington-state/,47.2447212,-122.43608807502436,Chance Light Rain
Pioneer Square First Thursday Art Walk,Ongoing,Pioneer Square,Visual Arts & Galleries,Pioneer Square,https://visitseattle.org/events/pioneer-square-first-thursday-art-walk/,45.5189007,-122.67929660431365,Chance Rain Showers
Deities and Demons: Supernatural in Japanese Art,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/deities-and-demons-supernatural-in-japanese-art/,47.6077008,-122.3385575,Chance Light Rain
American Art: The Stories We Carry,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/american-art-the-stories-we-carry/,47.6077008,-122.3385575,Chance Light Rain
Pacific Species,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/pacific-species/,47.6077008,-122.3385575,Chance Light Rain
Reverberations: Contemporary Art and Modern Classics,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/reverberations-contemporary-art-and-modern-classics/,47.6077008,-122.3385575,Chance Light Rain
75 Years of Porsche,Ongoing,LeMay - America's Car Museum,Museums,South,https://visitseattle.org/events/75-years-of-porsche/,47.2362108,-122.43044382406997,Chance Light Rain
Manazma Sheen,Ongoing,Sea Monster Lounge,Music,Wallingford / Greenlake,https://visitseattle.org/events/manazma-sheen/,47.6615049,-122.332319,Chance Light Rain
